# 2025  3  6  6  0 UTC  2025  3  6  6 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2025,3,6,0600,50.50,104.84,3.15,0,2,1,5.01,0,4
2,2025,3,6,0600,50.50,104.86,3.15,0,2,1,5.01,0,4
3,2025,3,6,0600,50.48,104.86,3.15,0,2,1,5.01,0,4
4,2025,3,6,0600,50.48,104.88,3.15,0,2,3,5.01,0,4
5,2025,3,6,0600,49.56,111.98,3.22,0,3,3,2.90,0,5
6,2025,3,6,0600,49.56,112.02,3.22,0,3,3,2.66,0,6
7,2025,3,6,0600,46.02,122.74,3.44,0,2,5,15.10,0,10
8,2025,3,6,0600,46.02,122.76,3.44,0,2,5,15.10,0,10
9,2025,3,6,0600,46.00,122.76,3.44,0,2,5,15.09,0,10
10,2025,3,6,0600,45.98,122.76,3.44,0,2,5,57.03,0,10
11,2025,3,6,0600,45.98,122.78,3.44,0,2,5,57.03,0,10
12,2025,3,6,0600,45.98,122.80,3.44,0,3,5,6.41,0,10
13,2025,3,6,0600,45.96,122.74,3.45,0,2,3,2.61,0,10
14,2025,3,6,0600,45.96,122.76,3.45,0,2,5,5.33,0,10
15,2025,3,6,0600,45.96,122.78,3.45,0,2,5,57.03,0,10
16,2025,3,6,0600,45.96,122.80,3.45,0,3,5,6.41,0,10
17,2025,3,6,0600,45.94,122.74,3.45,0,2,3,2.61,0,10
18,2025,3,6,0600,45.94,122.76,3.45,0,2,3,2.61,0,10
19,2025,3,6,0600,45.94,122.78,3.45,0,2,5,5.33,0,10
20,2025,3,6,0600,45.94,122.80,3.45,0,3,3,3.48,0,10
21,2025,3,6,0600,45.94,122.82,3.45,0,3,3,3.48,0,10
22,2025,3,6,0600,45.86,122.72,3.45,0,1,3,14.49,0,23
23,2025,3,6,0600,45.86,122.74,3.45,0,2,5,15.18,0,23
24,2025,3,6,0600,45.86,122.76,3.45,0,2,5,15.18,0,23
25,2025,3,6,0600,45.84,122.72,3.45,0,1,3,14.49,0,23
26,2025,3,6,0600,45.84,122.74,3.45,0,1,3,14.49,0,23
27,2025,3,6,0600,45.84,122.76,3.45,0,2,5,15.18,0,23
28,2025,3,6,0600,45.58,126.16,3.47,0,2,5,15.27,0,30
29,2025,3,6,0600,45.58,126.18,3.47,0,2,5,15.27,0,30
30,2025,3,6,0600,45.56,126.16,3.47,0,2,3,19.06,0,30
31,2025,3,6,0600,45.56,126.18,3.47,0,2,3,19.06,0,30
32,2025,3,6,0600,45.54,126.18,3.47,0,2,3,19.06,0,30
33,2025,3,6,0600,45.32,126.50,3.49,0,3,3,2.77,0,33
34,2025,3,6,0600,45.30,126.52,3.49,0,2,5,20.70,0,34
35,2025,3,6,0600,45.30,126.54,3.49,0,2,5,20.70,0,34
36,2025,3,6,0600,45.28,126.54,3.49,0,2,5,20.70,0,34
37,2025,3,6,0600,45.26,126.40,3.49,0,2,5,33.19,0,44
38,2025,3,6,0600,45.26,126.42,3.49,0,2,5,28.12,0,44
