# 2025  3  6  6 20 UTC  2025  3  6  7  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2025,3,6,0623,50.40,104.66,3.16,0,2,3,13.43,0,4
2,2025,3,6,0623,50.40,104.68,3.16,0,2,3,13.43,0,4
3,2025,3,6,0623,50.38,104.68,3.16,0,2,3,13.43,0,4
4,2025,3,6,0623,50.38,104.70,3.16,0,2,3,13.43,0,4
5,2025,3,6,0623,46.10,121.54,3.44,0,2,3,2.71,0,5
6,2025,3,6,0623,46.10,121.56,3.44,0,2,3,2.71,0,5
7,2025,3,6,0623,46.02,122.74,3.44,0,2,3,6.20,0,10
8,2025,3,6,0623,46.02,122.76,3.44,0,2,3,6.20,0,10
9,2025,3,6,0623,46.00,122.76,3.44,0,2,3,6.20,0,10
10,2025,3,6,0623,45.98,122.76,3.44,0,2,5,31.41,0,10
11,2025,3,6,0623,45.98,122.78,3.44,0,2,5,31.41,0,10
12,2025,3,6,0623,45.96,122.78,3.45,0,2,5,31.41,0,10
13,2025,3,6,0623,45.86,122.74,3.45,0,2,5,15.83,0,13
14,2025,3,6,0623,45.86,122.76,3.45,0,2,5,15.83,0,13
15,2025,3,6,0623,45.84,122.76,3.45,0,2,5,15.83,0,13
16,2025,3,6,0623,45.82,122.76,3.45,0,2,5,7.37,0,13
17,2025,3,6,0623,45.82,122.78,3.45,0,2,5,7.37,0,13
18,2025,3,6,0623,45.72,126.10,3.46,0,2,3,4.55,0,18
19,2025,3,6,0623,45.70,126.10,3.46,0,2,3,4.55,0,18
20,2025,3,6,0623,45.42,121.32,3.48,0,2,3,1.40,0,20
21,2025,3,6,0623,45.32,126.46,3.49,0,2,5,30.15,0,21
22,2025,3,6,0623,45.32,126.48,3.49,0,2,5,30.15,0,21
23,2025,3,6,0623,45.32,126.50,3.49,0,2,5,6.40,0,21
24,2025,3,6,0623,45.30,126.52,3.49,0,3,5,2.57,0,25
25,2025,3,6,0623,45.30,126.54,3.49,0,3,5,2.57,0,25
26,2025,3,6,0623,45.28,126.54,3.49,0,3,5,2.57,0,25
27,2025,3,6,0623,45.26,126.40,3.49,0,2,5,27.64,0,31
28,2025,3,6,0623,45.26,126.42,3.49,0,2,5,24.22,0,31
29,2025,3,6,0623,45.26,126.44,3.49,0,2,5,24.22,0,31
30,2025,3,6,0623,45.26,126.46,3.49,0,3,3,3.18,0,31
31,2025,3,6,0623,45.24,126.40,3.49,0,2,5,186.83,0,31
32,2025,3,6,0623,45.24,126.42,3.49,0,2,5,186.83,0,31
33,2025,3,6,0623,45.24,126.44,3.49,0,2,5,82.40,0,31
34,2025,3,6,0623,45.22,126.40,3.49,0,2,5,186.83,0,31
35,2025,3,6,0623,45.22,126.42,3.49,0,2,5,186.83,0,31
36,2025,3,6,0623,45.22,126.44,3.49,0,2,5,82.39,0,31
37,2025,3,6,0623,45.14,136.54,3.50,0,2,3,7.63,0,38
38,2025,3,6,0623,45.12,136.54,3.50,0,1,3,18.00,0,38
39,2025,3,6,0623,45.10,136.54,3.50,0,1,3,18.00,0,38
40,2025,3,6,0623,44.62,126.30,3.53,0,2,3,5.95,0,40
41,2025,3,6,0623,44.62,126.32,3.53,0,2,3,5.95,0,40
42,2025,3,6,0623,44.36,132.28,3.54,0,2,3,7.25,0,42
43,2025,3,6,0623,44.36,132.30,3.54,0,2,3,7.25,0,42
44,2025,3,6,0623,44.34,132.28,3.54,0,2,3,7.25,0,42
45,2025,3,6,0623,44.34,132.30,3.54,0,2,3,7.24,0,42
46,2025,3,6,0623,44.32,126.06,3.55,0,2,3,5.48,0,46
47,2025,3,6,0623,44.18,132.34,3.55,0,2,5,85.36,0,47
48,2025,3,6,0623,44.18,132.36,3.55,0,2,5,17.34,0,47
49,2025,3,6,0623,44.18,132.38,3.55,0,2,5,17.34,0,47
50,2025,3,6,0623,44.16,132.34,3.56,0,2,5,85.36,0,47
51,2025,3,6,0623,44.16,132.36,3.56,0,2,5,85.36,0,47
52,2025,3,6,0623,44.16,132.38,3.56,0,2,5,17.34,0,47
53,2025,3,6,0623,44.14,132.34,3.56,0,2,5,49.14,0,47
54,2025,3,6,0623,44.14,132.36,3.56,0,2,5,49.14,0,47
55,2025,3,6,0623,44.14,132.38,3.56,0,2,5,10.16,0,47
56,2025,3,6,0623,44.12,132.36,3.56,0,2,3,8.42,0,47
57,2025,3,6,0623,44.10,132.36,3.56,0,2,3,8.42,0,47
58,2025,3,6,0623,43.92,131.98,3.57,0,2,3,22.89,0,62
59,2025,3,6,0623,43.92,132.00,3.57,0,2,3,22.89,0,62
60,2025,3,6,0623,43.90,131.98,3.57,0,2,3,22.89,0,62
61,2025,3,6,0623,43.90,132.00,3.57,0,2,3,22.89,0,62
62,2025,3,6,0623,43.88,131.96,3.57,0,1,3,54.66,0,62
63,2025,3,6,0623,43.88,131.98,3.57,0,1,3,54.66,0,62
64,2025,3,6,0623,43.88,132.00,3.57,0,2,5,35.50,0,62
65,2025,3,6,0623,43.88,132.18,3.57,0,2,3,8.29,0,65
66,2025,3,6,0623,43.86,132.18,3.57,0,2,3,8.29,0,65
67,2025,3,6,0623,43.86,133.28,3.57,0,3,1,1.87,0,67
68,2025,3,6,0623,43.84,133.26,3.58,0,3,1,1.87,0,67
69,2025,3,6,0623,43.84,133.28,3.58,0,3,1,1.87,0,67
70,2025,3,6,0623,43.66,132.14,3.59,0,2,3,5.56,0,70
71,2025,3,6,0623,43.34,132.06,3.60,0,2,5,19.31,0,71
72,2025,3,6,0623,43.12,133.14,3.62,0,2,3,4.86,0,74
73,2025,3,6,0623,43.10,133.14,3.62,0,2,1,4.86,0,74
74,2025,3,6,0623,43.08,133.14,3.62,0,2,5,20.55,0,74
